_id,translation
olieverf,"oil paint"
doek,canvas
papier,paper
acryl,acrylic
brons,bronze
marmer,"marble (rock)"
hout,wood
"grijze inkt","grey ink"
grondblad,"background paper"
potlood,"pencils (drawing and writing equipment)"
"zwart krijt","black chalk"
"Japans papier","Japanese paper"
gips,gypsum
velijnpapier,"vellum paper"
"roze inkt","pink ink"
"rood krijt","red chalk"
paneel,panel
krijt,chalk
aquarel,watercolour
kalkpapier,"lime paper"
"vergé papier","Vergé paper"
houtskool,charcoal
kalksteen,limestone
gouache,gouache
karton,cardboard
steen,"stone (worked rock)"
"zwarte inkt","black ink"
arduin,bluestone
kleurpotlood,"coloured pencil"
inkt,ink
hardboard,hardboard
graniet,granite
"bruine inkt","brown ink"
wol,"wool (textile)"
zijde,"silk (textile)"
"blauwe inkt","blue ink"
zilver,"silver (metal)"
jute,jute
pastel,"pastel (material)"
"wit krijt","white chalk"
unalit,unalit
"Oost-Indische inkt","India ink (ink)"
tin,"tin (metal)"
"Japans zijdepapier","Japanese silk paper"
sanguine,"red chalk"
Contépotlood,"Conté crayon"
terracotta,"terracotta (clay material)"
sepia,"sepia (ink)"
"blauw krijt","blue chalk"
"simili Japans papier","simili Japanese paper"
foto,photo
albast,alabaster
"bruin krijt","brown chalk"
goudverf,"gilt paint"
"groene inkt","green ink"
bister,bister
"paars krijt","purple chalk"
gomlak,"gum lacquer"
tempera,tempera
kalkmortel,"lime mortar"
triplex,plywood
perkament,"parchment (animal material)"
Galvano-brons,"Galvano Bronze"
"roodbruine inkt","red-brown ink"
koper,copper
"paarse inkt","purple ink"
ecoline,ecoline
zijdepapier,"rayon paper"
fresco,fresco
kalk,"lime concrete"
polyester,"polyester (resin)"
"lichtbruine inkt","light brown ink"
"rood potlood","red pencil"
"roze pastel","pink pastel"
"rode inkt","red ink"
eikenhout,"oak (wood)"
"Chinees papier","China paper"
"Chine appliqué-prent","Chine appliqué-print"
lompenpapier,"rag paper"
"notenhout (hardhout)","walnut (wood)"
bloed,blood
plastiekfolie,"plastic foil"
was,wax
"witte steen","white stone"
"zwarte steen","black slate"
lavis,"lavis (technique)"
"verdunde olieverf","thinned oil paint"
"blauwe pastel","blue pastel"
"geperst karton","pressed cardboard"
glas,glass
lompenkarton,"rag cardboard"
grafiet,graphite
typemachinepapier,"typewriter paper"
viltstift,"felt-tip pens"
"geruit papier","checked paper"
goud,gold
milimeterpapier,"millimetre paper"
glaspotlood,"glass pencil"
katoen,cotton
kristalpapier,glassine
zincografie,zincographs
"witte gouache","white tempera"
ivoor,"ivory (material)"
alcoholstift,"alcohol marker"
krantenpapier,newsprint
vetkrijt,"fabricated chalk"
gesso,gesso
balpen,"ball-point pen"
schrijnwerkerspotlood,"carpenter's pencil"
crêpetape,"crepe tape"
stift,pen
"zwart potlood","black pencil"
pijpaarde,"pipe clay"
cement,cement
biscuit,biscuit
Chamois-papier,"Chamois paper"
vezelplaat,fiberboard
zwelpapier,"swel touch paper"
bladgoud,"gold leaf"
caseïne,casein
verf,paint
"witte inkt","white ink"
"blauwzwarte inkt","blue-black ink"
"lichtbruin krijt","light brown chalk"
pen,pen
"Balegemse zandsteen","Balegem sandstone"
10de eeuw,10th century
11de eeuw,11th century
12de eeuw,12th century
13de eeuw,13th century
14de eeuw,14th century
15de eeuw,15th century
16de eeuw,16th century
17de eeuw,17th century
18de eeuw,18th century
19de eeuw,19th century
20ste eeuw,20th century
21ste eeuw,21th century
schilderingen,"paintings (visual works)"
prenten,"prints (visual works)"
sculpturen,"sculpture (visual works)"
tekeningen,"drawings (visual works)"
"penningen (medailles)",medals
tijdschriften,periodicals
"belangrijk werk Vlaamse Gemeenschap",
textilia,"textiles (visual works)"
fotografie,photographs
"Decretaal beschermd topstuk",
boeken,books
manuscripten,"manuscripts (documents)"
olieverfschilderijen,"oil paintings (visual works)"
ets,etching
acrylverfschilderij,"acrylic paintings (visual works)"
brons,bronze
burijngravure,"burin engraving"
marmer,"marble (rock)"
hout,wood
inkttekening,"ink drawing"
drogenaald,drypoint
potloodtekening,"pencil drawings"
krijttekening,"chalk drawings"
houtsnede,woodcut
monotypie,"monotypes (planographic prints)"
gips,gypsum
"lithografie (prent)",lithographs
"penning (medaille)",medals
aquarel,watercolour
gelegenheidspenning,"commemorative medals"
houtskooltekening,"charcoal drawings"
plaquette,"plaques (flat objects)"
kalksteen,limestone
gouache,gouache
steen,"stone (worked rock)"
lavis,"lavis (technique)"
aquatint,"aquatints (prints)"
arduin,bluestone
graniet,granite
pochoir,"pochoir (technique)"
heliogravure,"photoaquatints (prints)"
wandtapijten,tapestries
gedenkpenning,"commemorative medals"
penseeltekening,"brush drawing"
foto,photo
pasteltekening,"pastels (visual works)"
prijspenning,"award medal"
tinwerk,tinware
linoleumsnede,"linocuts (prints)"
gedenkplaquette,
pentekening,"pen and ink drawings"
"terracotta (beeldhouwwerk)","terracottas (sculptural works)"
kleurenlithografie,"color lithographs"
affiche,poster
albast,alabaster
"vernis mou","soft-ground etchings (process)"
kunstpenning,"art medal"
mezzotint,"mezzotints (prints)"
cement,cement
temperaschilderij,"tempera paintings"
roulette,"roulettes (engraving tools)"
kleurpotloodtekening,"colour pencil drawing"
handschrift,"manuscripts (documents)"
illustratie,"illustrations (layout features)"
portretpenning,"portrait medal"
sepiatekening,
facsimile,"facsimiles (reproductions)"
"religieuze penning",
beloningspenning,"reward medal"
eremedaille,"medal of honour"
fresco,fresco
herinneringsmedaille,
zincografie,zincographs
pastel,"pastel (material)"
eikenhout,"oak (wood)"
ledenpenning,"membership medal"
aanwezigheidsplaquette,
huwelijkspenning,
"notenhout (hardhout)","walnut (wood)"
collage,"collage (technique)"
bloedschilderij,"blood painting"
"was (beeldhouwwerk)","waxworks (sculpture)"
houtgravure,"wood engraving"
gravure,engravings
portretplaquette,
viltstifttekening,"felt-tip pen drawing"
herinneringsplaquette,"commemorative plaque"
kunstplaquette,
gelegenheidsplaquette,
publiciteitsplaquette,
boogplaquette,"rounded plaque"
huwelijksplaquette,
"industriële penning",
"ivoor (beeldhouwwerk)","ivories (sculptures)"
alcoholstifttekening,"alcohol marker drawing"
gessoschilderij,"gesso painting"
behangpapier,
zwelpapierdruk,"swell paper print"
lichtdruk,"collotypes (prints)"
lithografie,lithography
sjabloon,"stencils (image-making tools)"
caseïneschilderij,"casein paintings (visual works)"
stippelgravure,"stipple engravings (prints)"
reproductie,"reproduction (copying)"
kleurenets,"à la poupée"
schetsboeken,sketchbooks
koper,copper
prijsmedaille,
kroningspenning,
publiciteitspenning,"advertising medal"
ereplaquette,
medaillon,
terracotta,"terracotta (clay material)"
zandsteen,sandstone
boekillustratie,illustrations
ets,etching
ingekleurd,heightened
gepatineerd,patination
burijngravure,"burin engraving"
drogenaald,drypoint
houtsnede,woodcut
monotypie,"monotypes (planographic prints)"
lithografie,lithography
gewassen,wash
aquatint,"aquatints (prints)"
spattechniek,"splashed ink"
pochoir,"pochoir (technique)"
heliogravure,"photoaquatints (prints)"
"gewassen in grijs","grey wash"
foto,photo
verguld,"gilding (technique)"
gepolychromeerd,polychromy
gekwadrateerd,"squaring (transferring technique)"
linoleumsnede,"linocuts (prints)"
tegendruk,"counterproving (printing)"
"gewassen in bruin","brown wash"
kleurenlithografie,"color lithographs"
gehoogd,heightened
geschilderd,"painting (image-making)"
"vernis mou","soft-ground etchings (process)"
gom,gum
mezzotint,"mezzotints (prints)"
roulette,"roulettes (engraving tools)"
verzilverd,silvering
geslagen,"striking (metalworking)"
"gewassen in paars","purple wash"
facsimile,"facsimiles (reproductions)"
zincografie,zincographs
gegoten,"founding (metal or glass working)"
"gemengde techniek","mixed media"
collage,"collage (technique)"
houtgravure,"wood engraving"
gegraveerd,"engraving (printing process)"
"grijs geverfd","painted in grey"
gladgeschuurd,"sanding (abrasion)"
"gewassen in zwart","black wash"
ingekrast,"scoring (surface marking)"
gravure,engravings
gegalvaniseerd,galvanizing
rouleau,rouleau
typografie,typography
"kleurendruk (procédé)","color printing"
zwelpapierdruk,"swell paper print"
lichtdruk,"collotypes (prints)"
sjabloon,"stencils (image-making tools)"
zandaquatint,"sand aquatint"
stippelgravure,"stipple engravings (prints)"
reproductie,"reproduction (copying)"
kleurenets,"à la poupée"
beschilderd,"painting techniques"
aquarel,watercolour
potlood,"pencils (drawing and writing equipment)"
goudverf,"gilt paint"
houtskool,charcoal
blinddruk,"blind stamping"
